Heat No,Date,Location,Sample_Id,NPP
196851,07-Jan-25,Sequence,Y5,91
196851,07-Jan-25,Sequence,X5,93
196851,07-Jan-25,Sequence,Z5,74
197491,01-Jan-25,CCM,X3-RE,57
197491,01-Jan-25,CCM,Z5,56
197491,04-Jan-25,CCM,X3,56
197491,04-Jan-25,CCM,Z5,52
197491,04-Jan-25,CCM,Y4,57
198988,20-Jan-25,Sequence,X3-RE CHECK,73
198988,20-Jan-25,Sequence,Z7-RE CHECK,74
199115,01-Jan-25,CCM,X5,60
199115,01-Jan-25,CCM,Y6,69
199115,01-Jan-25,CCM,Z7,65
199143,01-Jan-25,Sequence,X5,96
199143,01-Jan-25,Sequence,Y5,97
199143,01-Jan-25,Sequence,Z5,98
199227,02-Jan-25,Sequence,X1,63
199227,02-Jan-25,Sequence,Y1,63
199227,02-Jan-25,Sequence,Z1,61
199227,02-Jan-25,Sequence,X5,65
199227,02-Jan-25,Sequence,Y5,63
199227,02-Jan-25,Sequence,Z5,63
199234,03-Jan-25,Sequence,ZL,47
199234,03-Jan-25,Sequence,YL,52
199234,03-Jan-25,Sequence,XL,49
199236,03-Jan-25,Sequence,XL,49
199236,03-Jan-25,Sequence,YL,47
199236,03-Jan-25,Sequence,ZL,46
199256,01-Jan-25,CCM,X5,80
199256,01-Jan-25,CCM,Y6,85
199256,01-Jan-25,CCM,Z6,77
199274,01-Jan-25,CCM,X5,94
199274,01-Jan-25,CCM,Y5,96
199274,01-Jan-25,CCM,Z5,95
199275,01-Jan-25,CCM,X5,82
199275,01-Jan-25,CCM,Y6,83
199275,01-Jan-25,CCM,Z7,83
199276,01-Jan-25,LRF,L5,85
199276,01-Jan-25,CCM,X5,90
199276,01-Jan-25,CCM,Y6,87
199276,01-Jan-25,CCM,Z7,89
199277,01-Jan-25,LRF,L4,78
199277,01-Jan-25,LRF,L5,88
199277,01-Jan-25,CCM,X5,100
199277,01-Jan-25,CCM,Y6,99
199277,01-Jan-25,CCM,Z7,100
199278,01-Jan-25,LRF,L4,74
199278,01-Jan-25,CCM,X5,85
199278,01-Jan-25,CCM,Y6,84
199278,01-Jan-25,CCM,Z7,88
199279,01-Jan-25,LRF,L4,72
199279,01-Jan-25,LRF,L5,86
199279,01-Jan-25,CCM,X5,109
199279,01-Jan-25,CCM,Y6,106
